Term                           IDF                           
head                           0.0                           
meta                           0.0                           
viewport                       0.0                           
deny                           0.0                           
description                    0.0                           
портал                         0.0                           
предоставлять                  0.0                           
автор                          0.0                           
возможность                    0.0                           
свободный                      0.0                           
публикация                     0.0                           
обсуждение                     0.0                           
произведение                   0.0                           
современный                    0.0                           
поэзия                         0.0                           
keywords                       0.0                           
стих                           0.0                           
стихотворение                  0.0                           
поэт                           0.0                           
поэтический                    0.0                           
лирика                         0.0                           
литература                     0.0                           
творчество                     0.0                           
журнал                         0.0                           
title                          0.0                           
дерево                         1.2688                        
рухнуть                        1.5119                        
овраг                          1.6368                        
шварц                          0.0                           
вадим                          0.0                           
николаевич                     0.0                           
link                           0.0                           
stylesheet                     0.0                           
script                         0.0                           
javascript                     0.0                           
body                           0.0                           
ffffff                         0.0                           
div                            0.0                           
container                      0.0                           
header                         0.0                           
headlogo                       0.0                           
img                            0.0                           
ul                             0.0                           
headmenu                       0.0                           
li                             0.0                           
рецензия                       0.0                           
поиск                          0.0                           
http                           0.0                           
магазин                        0.0                           
nobr                           0.0                           
вход                           0.0                           
maintext                       0.0                           
index                          0.0                           
titleauthor                    0.0348                        
em                             0.0348                        
text                           0.0348                        
br                             0.0                           
тихий                          1.6368                        
мёртвый                        1.1597                        
сделать                        1.3358                        
шаг                            1.2688                        
наугад                         2.1139                        
упад                           1.8129                        
лист                           1.1597                        
укрыть                         2.1139                        
смердеть                       2.1139                        
снег                           1.2109                        
мой                            0.4064                        
совершить                      1.8129                        
побег                          2.1139                        
суета                          2.1139                        
внутренний                     1.8129                        
смотреть                       0.8587                        
накрывать                      2.1139                        
увидеть                        0.9678                        
рука                           0.4064                        
почувствовать                  1.8129                        
друг                           1.1139                        
поперёк                        2.1139                        
поломать                       1.8129                        
берёза                         2.1139                        
враг                           1.8129                        
лес                            1.3358                        
знать                          0.8587                        
неведомый                      1.8129                        
существовать                   1.2688                        
выпить                         1.6368                        
дно                            1.5119                        
засохлый                       2.1139                        
река                           1.5119                        
меж                            1.6368                        
умирать                        1.0726                        
умереть                        1.0                           
copyright                      0.0348                        
copy                           0.0                           
свидетельство                  0.0348                        
span                           0.0                           
time                           0.0348                        
new                            0.0                           
roman                          0.0348                        
ru                             0.0348                        
none                           0.0348                        
vkontakte                      0.0348                        
facebook                       0.0348                        
twitter                        0.0348                        
odnoklassniki                  0.0348                        
moimir                         0.0348                        
lj                             0.0348                        
gplus                          0.0348                        
список                         0.0                           
читатель                       0.0                           
версия                         0.0348                        
печать                         0.0348                        
anons                          0.0348                        
разместить                     0.0348                        
анонс                          0.0348                        
заявить                        0.0348                        
нарушение                      0.0348                        
titlerec                       0.0348                        
notesline                      0.0348                        
написать                       0.0                           
footer                         0.0                           
footmenu                       0.0                           
nbsp                           0.0                           
table                          0.0                           
right                          0.0                           
tr                             0.0                           
td                             0.0                           
top                            0.0                           
liveinternet                   0.0                           
counter                        0.0                           
r                              0.0                           
escape                         0.0                           
typeof                         0.0                           
screen                         0.0                           
undefined                      0.0                           
u                              0.0                           
показать                       0.0                           
количество                     0.0                           
просмотр                       0.0                           
посетитель                     0.0                           
p                              0.0                           
литературный                   0.0                           
сеть                           0.0                           
интернет                       0.0                           
основание                      0.0                           
пользовательский               0.0                           
договор                        0.0                           
авторский                      0.0                           
право                          0.0                           
принадлежать                   0.0                           
охраняться                     0.0                           
закон                          0.0                           
перепечатка                    0.0                           
возможный                      0.0                           
согласие                       0.0                           
который                        0.0                           
мочь                           0.0                           
обратиться                     0.0                           
страница                       0.0                           
ответственность                0.0                           
текст                          0.0                           
нести                          0.0                           
самостоятельно                 0.0                           
правило                        0.0                           
законодательство               0.0                           
российский                     0.0                           
федерация                      0.0                           
дать                           0.0                           
пользователь                   0.0                           
обрабатываться                 0.0                           
политика                       0.0                           
обработка                      0.0                           
персональный                   0.0                           
данные                         0.0                           
посмотреть                     0.0                           
подробный                      0.0                           
информация                     0.0                           
связаться                      0.0                           
администрация                  0.0                           
ежедневный                     0.0                           
аудитория                      0.0                           
ndash                          0.0                           
порядок                        0.0                           
общий                          0.0                           
сумма                          0.0                           
просматривать                  0.0                           
счётчик                        0.0                           
посещаемость                   0.0                           
расположить                    0.0                           
справа                         0.0                           
каждый                         0.0                           
граф                           0.0                           
указать                        0.0                           
цифра                          0.0                           
работать                       0.0                           
эгида                          0.0                           
союз                           0.0                           
писатель                       0.0                           
color                          0.0                           
function                       0.0                           
e                              0.0                           
k                              0.0                           
argument                       0.0                           
date                           0.0                           
window                         0.0                           
document                       0.0                           
ym                             0.0                           
init                           0.0                           
clickmap                       0.0                           
true                           0.0                           
tracklinks                     0.0                           
accuratetrackbounce            0.0                           
webvisor                       0.0                           
noscript                       0.0                           
position                       0.0                           
absolute                       0.0                           
left                           0.0                           
var                            0.0                           
gajshost                       0.0                           
unescape                       0.0                           
try                            0.0                           
pagetracker                    0.0                           
catch                          0.0                           
err                            0.0                           
сон                            1.1139                        
закрывать                      1.6368                        
глаз                           0.5954                        
красочно                       2.1139                        
прекрасный                     1.2109                        
балкон                         1.6368                        
подвесить                      2.1139                        
луна                           1.2688                        
размытый                       2.1139                        
холм                           2.1139                        
достать                        1.6368                        
сигарета                       1.1139                        
медленно                       1.415                         
курить                         1.1597                        
стоить                         1.1139                        
подмигивать                    2.1139                        
земля                          1.1139                        
словно                         0.6515                        
любовь                         0.7715                        
оставить                       1.0348                        
колесница                      2.1139                        
облако                         1.1139                        
обращать                       2.1139                        
пух                            2.1139                        
сгореть                        1.8129                        
спорить                        1.8129                        
огонь                          1.415                         
закрой                         1.8129                        
произнести                     1.8129                        
вслух                          2.1139                        
quot                           0.7337                        
навсегда                       1.3358                        
уснуть                         1.2688                        
прокричать                     2.1139                        
пустота                        1.0                           
бояться                        0.9678                        
признаться                     1.8129                        
проснуться                     1.415                         
темно                          2.1139                        
смеяться                       1.3358                        
ласточка                       2.1139                        
лежать                         1.1597                        
забытьё                        2.1139                        
ангел                          2.1139                        
обещать                        1.8129                        
разглядеть                     1.6368                        
ресница                        2.1139                        
твой                           0.5012                        
свой                           0.7715                        
пылать                         1.415                         
огонёк                         2.1139                        
пронзать                       1.3358                        
звук                           1.0348                        
спираль                        1.6368                        
едва                           1.6368                        
сберечь                        2.1139                        
поджечь                        2.1139                        
давать                         1.6368                        
поджигать                      1.8129                        
двое                           1.6368                        
каменный                       1.5119                        
сердце                         0.8835                        
другой                         1.5119                        
отдавать                       2.1139                        
трудно                         2.1139                        
младенец                       2.1139                        
топить                         1.6368                        
ванна                          2.1139                        
больший                        1.8129                        
стать                          0.9678                        
серьёзный                      2.1139                        
пред                           1.3358                        
тело                           0.9678                        
мысль                          0.9379                        
голова                         0.8587                        
надоесть                       1.8129                        
обращаться                     1.8129                        
любимый                        1.3358                        
нежный                         1.5119                        
тот                            1.5119                        
внутри                         1.0348                        
вызывать                       1.5119                        
буран                          2.1139                        
обычный                        2.1139                        
грешный                        2.1139                        
честно                         1.6368                        
сказать                        1.5119                        
любить                         0.716                         
говорить                       0.699                         
правда                         1.0348                        
доверие                        1.8129                        
ставить                        1.6368                        
фальшивый                      2.1139                        
карта                          2.1139                        
убивать                        1.3358                        
причинить                      2.1139                        
боль                           0.9678                        
служить                        1.8129                        
яд                             1.5119                        
эликсир                        1.8129                        
моль                           2.1139                        
засесть                        1.8129                        
угол                           1.2109                        
харкать                        2.1139                        
лицо                           0.9379                        
противно                       2.1139                        
чуточку                        2.1139                        
комично                        2.1139                        
унижать                        2.1139                        
словцо                         2.1139                        
уничтожать                     1.1139                        
зачаток                        1.8129                        
разрушить                      1.6368                        
губить                         1.5119                        
хороший                        1.1597                        
рана                           2.1139                        
тощий                          1.8129                        
сыпь                           1.8129                        
соль                           1.8129                        
ирония                         2.1139                        
судьба                         1.8129                        
вспомнить                      1.8129                        
прошлое                        2.1139                        
утопить                        1.8129                        
трактир                        1.8129                        
пахнуть                        1.2688                        
блевать                        1.8129                        
похожий                        1.2109                        
маяк                           1.8129                        
стерпеть                       2.1139                        
миллион                        1.3358                        
невзгода                       2.1139                        
чувствовать                    1.2688                        
ценность                       2.1139                        
ржавый                         2.1139                        
копейка                        1.8129                        
иметь                          1.3358                        
дефект                         2.1139                        
детство                        1.2688                        
морально                       2.1139                        
оглохнуть                      2.1139                        
бармен                         2.1139                        
хриплый                        2.1139                        
налейка                        2.1139                        
иначе                          1.6368                        
свет                           0.8587                        
окно                           0.9098                        
алюминиевый                    2.1139                        
напомнить                      2.1139                        
красивый                       1.8129                        
необычный                      2.1139                        
милый                          1.6368                        
серый                          1.6368                        
пузо                           2.1139                        
плохой                         1.3358                        
называть                       1.3358                        
вообще                         1.415                         
такой                          1.0726                        
простофиля                     2.1139                        
высокомерный                   2.1139                        
ублюдок                        1.8129                        
эгоист                         2.1139                        
вытекать                       1.8129                        
последствие                    2.1139                        
аж                             2.1139                        
становиться                    1.2109                        
жутко                          2.1139                        
чужой                          1.2109                        
голос                          1.3358                        
взгляд                         0.9678                        
отталкивать                    2.1139                        
неприятность                   2.1139                        
оставлять                      1.2109                        
глубина                        1.415                         
душа                           0.7715                        
трехтонный                     2.1139                        
плеть                          1.6368                        
дождь                          1.1597                        
пролиться                      2.1139                        
задеть                         1.5119                        
хотеть                         0.9379                        
трепет                         1.6368                        
звон                           2.1139                        
пролить                        2.1139                        
пустой                         0.8587                        
слеза                          1.1597                        
плечо                          1.415                         
разлюбить                      2.1139                        
казаться                       1.5119                        
слабый                         1.6368                        
дальнейший                     2.1139                        
муж                            2.1139                        
пройти                         1.1597                        
обида                          2.1139                        
вырывать                       2.1139                        
блокнотный                     2.1139                        
сякой                          2.1139                        
алкоголь                       1.2109                        
закрыть                        1.2688                        
мост                           1.5119                        
повести                        2.1139                        
понятие                        2.1139                        
мужество                       2.1139                        
честь                          2.1139                        
заныкалиться                   2.1139                        
замызгать                      2.1139                        
квартира                       1.3358                        
счесть                         2.1139                        
один                           0.9098                        
огромный                       1.5119                        
бог                            1.3358                        
утопиться                      1.8129                        
якорь                          1.8129                        
целовать                       1.6368                        
веровать                       2.1139                        
святой                         1.8129                        
думать                         1.2109                        
хватить                        1.6368                        
содрогаться                    1.6368                        
молчать                        1.2688                        
почва                          1.6368                        
осуществление                  2.1139                        
уничтожить                     1.415                         
храм                           1.6368                        
человек                        0.716                         
пугать                         1.6368                        
змея                           1.6368                        
выплёвывать                    1.8129                        
вне                            1.2688                        
доза                           2.1139                        
издавать                       1.3358                        
молот                          2.1139                        
бить                           1.415                         
молчание                       1.6368                        
змеиный                        2.1139                        
мука                           1.8129                        
страдание                      1.5119                        
нужный                         1.1597                        
перемена                       1.8129                        
тёмный                         1.3358                        
подвал                         1.8129                        
солнце                         1.0726                        
луч                            1.6368                        
пробираться                    1.8129                        
тьма                           1.3358                        
несуществование                2.1139                        
зависеть                       2.1139                        
сырость                        1.8129                        
есть                           1.8129                        
камень                         1.3358                        
лёд                            1.415                         
материал                       2.1139                        
оказаться                      1.3358                        
скрипеть                       1.415                         
кость                          1.3358                        
ждать                          1.0726                        
никто                          0.8587                        
средь                          1.2688                        
пыль                           1.0348                        
брести                         2.1139                        
чернота                        1.3358                        
заметить                       1.415                         
тонуть                         1.2688                        
гореть                         1.0348                        
